#NAME,Parasites,infection,sex,wt,gfood_gbodywt,feces_drywt,Rat,Trial,urine,intake_dm,tot_ox,ox_perg,ox_group,month,gdna conc,gut_region,kit
Mota001-CV551C,Coccidian,yes,F,92.5,0.673594624,4.2,CV551C,reg,infected,10.27520632,0.154128095,0.00166625,0,may,23.8,cecum,MD1
Mota002-CV551P,Coccidian,yes,F,92.5,0.673594624,4.2,CV551,reg,27.33333333,10.27520632,0.154128095,0.00166625,0,may,36.1,feces,MD1
Mota003-CV551F,Coccidian,yes,F,92.5,0.673594624,4.2,CV551F,reg,infected,10.27520632,0.154128095,0.00166625,0,may,43.6,foregut,MD1
Mota004-CV551I,Coccidian,yes,F,92.5,0.673594624,4.2,CV551I,reg,infected,10.27520632,0.154128095,0.00166625,0,may,63.4,small_int,MD1
Mota005-CV551S,Coccidian,yes,F,92.5,0.673594624,4.2,CV551S,reg,infected,10.27520632,0.154128095,0.00166625,0,may,4.4,stomach,MD1
Mota006-CV552P,Uninfected,no,F,104.67,0.658474933,4.74,CV552,reg,33,11.4914219,0.172371329,0.001646807,0,may,76.5,feces,MD1
Mota007-CV554P,Nematode,yes,F,105,0.672981982,3.39,CV554,reg,36.66666667,10.41175835,0.156176375,0.001487394,0,may,62.9,feces,MD1
Mota008-CV556C,Nematode,yes,F,144.45,0.458773514,4.43,CV556C,reg,infected,10.40544824,0.156081724,0.001080524,0,may,131.8,cecum,MD1
Mota009-CV556P,Nematode,yes,F,144.45,0.458773514,4.43,CV556,reg,28.33333333,10.40544824,0.156081724,0.001080524,0,may,68.9,feces,MD1
Mota010-CV556F,Nematode,yes,F,144.45,0.458773514,4.43,CV556F,reg,infected,10.40544824,0.156081724,0.001080524,0,may,61.1,foregut,MD1
Mota011-CV556I,Nematode,yes,F,144.45,0.458773514,4.43,CV556I,reg,infected,10.40544824,0.156081724,0.001080524,0,may,23.8,small_int,MD1
Mota012-CV556S,Nematode,yes,F,144.45,0.458773514,4.43,CV556S,reg,infected,10.40544824,0.156081724,0.001080524,0,may,14.7,stomach,MD1
Mota013-CV557P,Nematode,yes,M,153.95,0.563509261,4.41,CV557,reg,54,13.67661961,0.205149294,0.001332571,0,may,79.7,feces,MD1
Mota014-CV559P,Nematode,yes,M,108.64,0.701804857,6.32,CV559,reg,40,12.87057383,0.193058607,0.001777049,0,may,65.2,feces,MD1
Mota015-CV577P1,Nematode,yes,F,143.56,0.528357276,6.77,CV577,reg,48.66666667,13.45298793,0.201794819,0.001405648,0,may,55.8,feces,MD1
Mota016-CV580P,Nematode,yes,F,169.38,0.484306005,7.59,CV580,reg,52.33333333,13.75127303,0.206269095,0.001217789,0,may,35.7,feces,MD1
Mota017-CV581P,Coccidian,yes,F,96.7,0.679363528,5.21,CV581,reg,40.33333333,10.41009899,0.156151485,0.001614803,0,may,21.6,feces,MD1
Mota018-CV591P,Uninfected,no,M,119.44,0.560298882,5.6,CV591,reg,39.66666667,12.92317737,0.193847661,0.001622971,0,may,58.3,feces,MD1
Mota019-CV592C,Nematode,yes,M,104.21,0.70192307,8.6,CV592C,reg,infected,11.71331048,0.175699657,0.001686015,0,may,22,cecum,MD1
Mota020-CV592P,Nematode,yes,M,104.21,0.70192307,8.6,CV592,reg,37.33333333,11.71331048,0.175699657,0.001686015,0,may,19.8,feces,MD1
Mota021-CV592F,Nematode,yes,M,104.21,0.70192307,8.6,CV592F,reg,infected,11.71331048,0.175699657,0.001686015,0,may,21.8,foregut,MD1
Mota022-CV592I,Nematode,yes,M,104.21,0.70192307,8.6,CV592I,reg,infected,11.71331048,0.175699657,0.001686015,0,may,40,small_int,MD1
Mota023-CV592S,Nematode,yes,M,104.21,0.70192307,8.6,CV592S,reg,infected,11.71331048,0.175699657,0.001686015,0,may,3.1,stomach,MD1
Mota024-CV593P,Uninfected,no,M,115.62,0.662896236,4.26,CV593,reg,43.66666667,12.64507144,0.189676072,0.001640513,0,may,72.1,feces,MD1
Mota025-CV594P,Coinfection,yes,F,101.78,0.700895311,2.97,CV594,reg,38,11.40264689,0.171039703,0.001680484,0,may,106.9,feces,MD1
Mota026-CV596P,Uninfected,no,M,110.38,0.656799175,4.44,CV596,reg,67,16.72709022,0.250906353,0.002273114,0,may,77.7,feces,MD1
Mota027-CV599P,Nematode,yes,M,238.24,0.498698178,8.22,CV599,reg,32.5,10.48906822,0.157336023,0.00066041,0,may,84.7,feces,MD1
Rodolfo-001-FCV502-D4-515-806 ,Nematode,yes,M,193.4,0.095,5.916333333,CV502,reg,10.16666667,19.54000667,0.2931001,0.001515512,0,oct,72.3,feces,MD1
Rodolfo-002-FCV503-D4-515-806 ,Uninfected,no,F,134.7,0.107,4.071,CV503,reg,8.666666667,15.62532667,0.2343799,0.001740014,0,oct,130,feces,MD1
Rodolfo-003-FCV505-D4-515-806,Uninfected,no,F,149.1,0.117,3.188666667,CV505,reg,9.166666667,16.63998333,0.24959975,0.001674043,0,oct,89,feces,MD1
Rodolfo-004-FCV507-D4-515-806,Nematode,yes,M,189.5,0.117,5.789333333,CV507,reg,12.33333333,21.18983,0.31784745,0.001677295,0,oct,48.5,feces,MD1
Rodolfo-005-FCV511-D4-515-806,Nematode,yes,F,100.4,0.158,3.477333333,CV511,reg,7,14.85225333,0.2227838,0.002218962,0,oct,96,feces,MD1
